Full dataset,,,,,,,,,,,,,,,,,
,Field labels,GP7,SrpI-like,Gp13-like,Gp10A-like,Phage_cap_E,P22_CoatProtein,Phage_capsid,Phage_capsid_2,Linocin_M18,L_lactis_ph-MCP,DUF2184,ENC_III,ENCP4,DUF6260,DUF5309,Total
,Notes,,,,,,,,,,,,,,,,
,Generated_by,Co_occurrence_tkinter.py,,,,,,,,,,,,,,,
,Date,12/1/25,,,,,,,,,,,,,,,
Mini_DTR_306144_4,Mini_DTR_306144_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Micro_DTR_742353_3,Micro_DTR_742353_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_724179_14,Control_DTR_724179_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mini_DTR_884203_2,Mini_DTR_884203_2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Mini_DTR_696755_7,Mini_DTR_696755_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_770951_14,Control_DTR_770951_14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_435039_20,Control_DTR_435039_20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_276405_19,Control_DTR_276405_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_723797_3,Mini_DTR_723797_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_542522_11,Mini_DTR_542522_11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Control_DTR_050713_20,Control_DTR_050713_20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_292566_12,Control_DTR_292566_12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Control_DTR_600710_17,Control_DTR_600710_17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_510022_6,Mini_DTR_510022_6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Control_DTR_233376_10,Control_DTR_233376_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_822269_3,Mini_DTR_822269_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_579213_19,Control_DTR_579213_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_179870_2,Mini_DTR_179870_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_188463_3,Mini_DTR_188463_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_110819_22,Control_DTR_110819_22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_354648_5,Control_DTR_354648_5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mini_DTR_684801_15,Mini_DTR_684801_15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
